judul,cleaned_judul,topic
Living a feminist life,living feminist life,4
Qualitative psychology: A practical guide to research methods,qualitative psychology practical guide research method,0
Reuters Institute digital news report 2024,reuters institute digital news report,1
Shamanism: Archaic techniques of ecstasy,shamanism archaic technique ecstasy,4
Introduction to documentary,introduction documentary,1
Teachers as intellectuals: Toward a critical pedagogy of learning,teacher intellectual toward critical pedagogy learning,4
Southern Politics in State and Nation: with an Introduction by Alexander Heard,southern politics state nation introduction alexander heard,1
Analyzing social networks,analyzing social network,-1
The Utility Analysis of Choices Involving Risk1,utility analysis choice involving risk,-1
2023 ESC guidelines for the management of acute coronary syndromes: developed by the task force on the management of acute coronary syndromes of the …,esc guideline management acute coronary syndrome developed task force management acute coronary syndrome …,2
"Dictionary learning for integrative, multimodal and scalable single-cell analysis",dictionary learning integrative multimodal scalable singlecell analysis,-1
The eyes of the skin: Architecture and the senses,eye skin architecture sens,-1
A Survey of Multimodel Large Language Models,survey multimodel large language model,0
Interactive Tree of Life (iTOL) v6: recent updates to the phylogenetic tree display and annotation tool,interactive tree life itol v recent update phylogenetic tree display annotation tool,0
Depth anything: Unleashing the power of large-scale unlabeled data,depth anything unleashing power largescale unlabeled data,0
2023 ACC/AHA/ACCP/HRS guideline for the diagnosis and management of atrial fibrillation: a report of the American College of Cardiology/American Heart …,accahaaccphrs guideline diagnosis management atrial fibrillation report american college cardiologyamerican heart …,2
The llama 3 herd of models,llama herd model,0
Mixtral of experts,mixtral expert,1
Microstrip lines and slotlines,microstrip line slotlines,-1
Elements of the Philosophy of Right,element philosophy right,4
Logical quantum processor based on reconfigurable atom arrays,logical quantum processor based reconfigurable atom array,-1
The theatre and its double,theatre double,1
Quality function deployment: integrating customer requirements into product design,quality function deployment integrating customer requirement product design,-1
"All one needs to know about metaverse: A complete survey on technological singularity, virtual ecosystem, and research agenda",one need know metaverse complete survey technological singularity virtual ecosystem research agenda,0
Benchmarking: the search for industry best practices that lead to superior performance,benchmarking search industry best practice lead superior performance,0
Mmmu: A massive multi-discipline multimodal understanding and reasoning benchmark for expert agi,mmmu massive multidiscipline multimodal understanding reasoning benchmark expert agi,0
Differential geometry and symmetric spaces,differential geometry symmetric space,3
"Biochar for environmental management: science, technology and implementation",biochar environmental management science technology implementation,3
Explaining creativity: The science of human innovation,explaining creativity science human innovation,4
Modern social politics in Britain and Sweden: From relief to income maintenance,modern social politics britain sweden relief income maintenance,-1
Cognition and categorization,cognition categorization,5
Microplastics and nanoplastics in atheromas and cardiovascular events,microplastics nanoplastics atheroma cardiovascular event,2
AlphaFold Protein Structure Database in 2024: providing structure coverage for over 214 million protein sequences,alphafold protein structure database providing structure coverage million protein sequence,0
T2i-adapter: Learning adapters to dig out more controllable ability for text-to-image diffusion models,tiadapter learning adapter dig controllable ability texttoimage diffusion model,0
Roformer: Enhanced transformer with rotary position embedding,roformer enhanced transformer rotary position embedding,-1
A survey on large language model based autonomous agents,survey large language model based autonomous agent,0
"Reporting reliability, convergent and discriminant validity with structural equation modeling: A review and best-practice recommendations",reporting reliability convergent discriminant validity structural equation modeling review bestpractice recommendation,0
Mmbench: Is your multi-modal model an all-around player?,mmbench multimodal model allaround player,0
Bevformer: learning bird's-eye-view representation from lidar-camera via spatiotemporal transformers,bevformer learning birdseyeview representation lidarcamera via spatiotemporal transformer,0
Effects of semaglutide on chronic kidney disease in patients with type 2 diabetes,effect semaglutide chronic kidney disease patient type diabetes,2
2024 heart disease and stroke statistics: a report of US and global data from the American Heart Association,heart disease stroke statistic report u global data american heart association,2
"Cancer statistics, 2024",cancer statistic,2
Awq: Activation-aware weight quantization for on-device llm compression and acceleration,awq activationaware weight quantization ondevice llm compression acceleration,0
Discourse analysis,discourse analysis,-1
Maps of narrative practice,map narrative practice,5
"Speculative Everything, With a new preface by the authors: Design, Fiction, and Social Dreaming",speculative everything new preface author design fiction social dreaming,1
Understanding motivation and emotion,understanding motivation emotion,-1
Epidemiology: an introduction,epidemiology introduction,-1
Beyond the nation-state: Functionalism and international organization,beyond nationstate functionalism international organization,-1
Velocity of the escaped savings and financial liquidity on maximum mixed savings,velocity escaped saving financial liquidity maximum mixed saving,-1
Primate adaptation and evolution,primate adaptation evolution,-1
Data analysis methods in physical oceanography,data analysis method physical oceanography,3
"Human, all too human: A book for free spirits",human human book free spirit,1
The Fire Next Time; Nobody Knows My Name; No Name in the Street; The Devil Finds Work: Introduction by Eddie S. Glaude Jr.,fire next time nobody know name name street devil find work introduction eddie glaude jr,1
Patient-centered medicine: transforming the clinical method,patientcentered medicine transforming clinical method,-1
Graph of thoughts: Solving elaborate problems with large language models,graph thought solving elaborate problem large language model,0
Advanced fitness assessment and exercise prescription,advanced fitness assessment exercise prescription,0
Enfortumab vedotin and pembrolizumab in untreated advanced urothelial cancer,enfortumab vedotin pembrolizumab untreated advanced urothelial cancer,2
Theories of surplus value,theory surplus value,4
"A genomic mutational constraint map using variation in 76,156 human genomes",genomic mutational constraint map using variation human genome,0
Tools of the mind: The Vygotskian approach to early childhood education,tool mind vygotskian approach early childhood education,4
"A comprehensive survey of continual learning: Theory, method and application",comprehensive survey continual learning theory method application,-1
Black sun: Depression and melancholia,black sun depression melancholia,-1
A note on the pure theory of consumer's behaviour,note pure theory consumer behaviour,-1
Another puzzle: The growth in actively managed mutual funds,another puzzle growth actively managed mutual fund,1
Unifying large language models and knowledge graphs: A roadmap,unifying large language model knowledge graph roadmap,0
"Natural resource scarcity, fossil fuel energy consumption, and total greenhouse gas emissions in top emitting countries",natural resource scarcity fossil fuel energy consumption total greenhouse gas emission top emitting country,2
Semaglutide in patients with obesity-related heart failure and type 2 diabetes,semaglutide patient obesityrelated heart failure type diabetes,2
"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly",survey large language model llm security privacy good bad ugly,0
Scaling rectified flow transformers for high-resolution image synthesis,scaling rectified flow transformer highresolution image synthesis,-1
"Common method bias: It's bad, it's complex, it's widespread, and it's not easy to fix",common method bias bad complex widespread easy fix,0
Solving olympiad geometry without human demonstrations,solving olympiad geometry without human demonstration,-1
4d gaussian splatting for real-time dynamic scene rendering,gaussian splatting realtime dynamic scene rendering,-1
How to win friends and influence people,win friend influence people,1
Alectinib in Resected ALK-Positive Non–Small-Cell Lung Cancer,alectinib resected alkpositive non–smallcell lung cancer,2
CD19 CAR T-cell therapy in autoimmune disease—a case series with follow-up,cd car tcell therapy autoimmune disease—a case series followup,2
"The elegant universe: Superstrings, hidden dimensions, and the quest for the ultimate theory",elegant universe superstring hidden dimension quest ultimate theory,-1
An occupational perspective of health,occupational perspective health,-1
Sharegpt4v: Improving large multi-modal models with better captions,sharegptv improving large multimodal model better caption,0
A SWOT analysis of ChatGPT: Implications for educational practice and research,swot analysis chatgpt implication educational practice research,0
Harnessing the power of llms in practice: A survey on chatgpt and beyond,harnessing power llm practice survey chatgpt beyond,0
"The great escape: health, wealth, and the origins of inequality",great escape health wealth origin inequality,4
2. Diagnosis and Classification of Diabetes: Standards of Care in Diabetes—2024,diagnosis classification diabetes standard care diabetes—,2
Fast and accurate protein structure search with Foldseek,fast accurate protein structure search foldseek,0
DrugBank 6.0: the DrugBank knowledgebase for 2024,drugbank drugbank knowledgebase,0
Occupational sources of stress: A review of the literature relating to coronary heart disease and mental ill health,occupational source stress review literature relating coronary heart disease mental ill health,2
The interplay between microbial communities and soil properties,interplay microbial community soil property,-1
How to Read a Paper: the Basics of Evidence-Based Healthcare,read paper basic evidencebased healthcare,0
The anatomy of market failure,anatomy market failure,1
Towards a general-purpose foundation model for computational pathology,towards generalpurpose foundation model computational pathology,0
mplug-owl2: Revolutionizing multi-modal large language model with modality collaboration,mplugowl revolutionizing multimodal large language model modality collaboration,0
The principles of political economy,principle political economy,4
"Cancer incidence and mortality in China, 2022",cancer incidence mortality china,2
Mathematical discoveries from program search with large language models,mathematical discovery program search large language model,0
Construction of 2D S‐scheme heterojunction photocatalyst,construction s‐scheme heterojunction photocatalyst,3
Antennas and propagation for wireless communication systems,antenna propagation wireless communication system,-1
Animate anyone: Consistent and controllable image-to-video synthesis for character animation,animate anyone consistent controllable imagetovideo synthesis character animation,0
Heterostructured BN@ Co‐C@ C endowing polyester composites excellent thermal conductivity and microwave absorption at C band,heterostructured bn co‐c c endowing polyester composite excellent thermal conductivity microwave absorption c band,3
Global incidence and mortality of severe fungal disease,global incidence mortality severe fungal disease,2
Introduction to educational research,introduction educational research,-1
Hollow land: Israel's architecture of occupation,hollow land israel architecture occupation,1
"Navigating the confluence of artificial intelligence and education for sustainable development in the era of industry 4.0: Challenges, opportunities, and ethical …",navigating confluence artificial intelligence education sustainable development era industry challenge opportunity ethical …,-1
Incompressible flow,incompressible flow,-1
Chatgpt: The end of online exam integrity?,chatgpt end online exam integrity,0
The economics of health and health care,economics health health care,-1
The EMBL-EBI Job Dispatcher sequence analysis tools framework in 2024,emblebi job dispatcher sequence analysis tool framework,0
Issues and ethics in the helping professions,issue ethic helping profession,-1
"GPT understands, too",gpt understands,1
The world of organic agriculture. Statistics and emerging trends 2024,world organic agriculture statistic emerging trend,2
Photons and atoms: introduction to quantum electrodynamics,photon atom introduction quantum electrodynamics,3
Generative ai,generative ai,1
Petrophysics: theory and practice of measuring reservoir rock and fluid transport properties,petrophysics theory practice measuring reservoir rock fluid transport property,3
The renewable energy role in the global energy Transformations,renewable energy role global energy transformation,-1
Large language models for software engineering: A systematic literature review,large language model software engineering systematic literature review,0
scGPT: toward building a foundation model for single-cell multi-omics using generative AI,scgpt toward building foundation model singlecell multiomics using generative ai,0
"Culture, the media and the 'ideological effect'",culture medium ideological effect,4
Towards generalist biomedical AI,towards generalist biomedical ai,-1
Interpreting black-box models: a review on explainable artificial intelligence,interpreting blackbox model review explainable artificial intelligence,0
Microaxial flow pump or standard care in infarct-related cardiogenic shock,microaxial flow pump standard care infarctrelated cardiogenic shock,2
Fault tree handbook,fault tree handbook,1
The arrangement between the sexes,arrangement sex,1
Progress and poverty,progress poverty,-1
The strategy and tactics of pricing,strategy tactic pricing,-1
Revisiting event-study designs: robust and efficient estimation,revisiting eventstudy design robust efficient estimation,0
The Laws of Returns Under Competitive Conditions1,law return competitive condition,1
Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,gemini unlocking multimodal understanding across million token context,0
Generalized biomolecular modeling and design with RoseTTAFold All-Atom,generalized biomolecular modeling design rosettafold allatom,-1
Improved charge extraction in inverted perovskite solar cells with dual-site-binding ligands,improved charge extraction inverted perovskite solar cell dualsitebinding ligand,3
Wonder3d: Single image to 3d using cross-domain diffusion,wonderd single image using crossdomain diffusion,-1
Explainability for large language models: A survey,explainability large language model survey,0
Generalized out-of-distribution detection: A survey,generalized outofdistribution detection survey,0
The symbolic challenge of contemporary movements,symbolic challenge contemporary movement,1
Introduction to research-e-book: Understanding and applying multiple strategies,introduction researchebook understanding applying multiple strategy,1
Action research: Improving schools and empowering educators,action research improving school empowering educator,-1
Mvbench: A comprehensive multi-modal video understanding benchmark,mvbench comprehensive multimodal video understanding benchmark,0
SpectralGPT: Spectral remote sensing foundation model,spectralgpt spectral remote sensing foundation model,0
Clip-adapter: Better vision-language models with feature adapters,clipadapter better visionlanguage model feature adapter,0
"Work in the 21st Century, with EEPUB Access: An Introduction to Industrial and Organizational Psychology",work st century eepub access introduction industrial organizational psychology,-1
"MetaboAnalyst 6.0: towards a unified platform for metabolomics data processing, analysis and interpretation",metaboanalyst towards unified platform metabolomics data processing analysis interpretation,-1
Practical gamma-ray spectrometry,practical gammaray spectrometry,3
Non-coding RNAs in disease: from mechanisms to therapeutics,noncoding rna disease mechanism therapeutic,2
Essentials of supply chain management,essential supply chain management,-1
Benchmarking large language models for news summarization,benchmarking large language model news summarization,0
Gpt-4 passes the bar exam,gpt pass bar exam,-1
"Global incidence, prevalence, years lived with disability (YLDs), disability-adjusted life-years (DALYs), and healthy life expectancy (HALE) for 371 diseases …",global incidence prevalence year lived disability ylds disabilityadjusted lifeyears dalys healthy life expectancy hale disease …,2
Pytorch 2: Faster machine learning through dynamic python bytecode transformation and graph compilation,pytorch faster machine learning dynamic python bytecode transformation graph compilation,0
C-pack: Packed resources for general chinese embeddings,cpack packed resource general chinese embeddings,0
Secure routing for mobile ad hoc networks,secure routing mobile ad hoc network,-1
The ethics of ChatGPT–Exploring the ethical issues of an emerging technology,ethic chatgpt–exploring ethical issue emerging technology,1
Infectious Diseases Society of America 2024 guidance on the treatment of antimicrobial-resistant gram-negative infections,infectious disease society america guidance treatment antimicrobialresistant gramnegative infection,2
The chemistry of clay-organic reactions,chemistry clayorganic reaction,3
JASPAR 2024: 20th anniversary of the open-access database of transcription factor binding profiles,jaspar th anniversary openaccess database transcription factor binding profile,0
Is Bitcoin a real currency? An economic appraisal,bitcoin real currency economic appraisal,3
NF-κB in biology and targeted therapy: new insights and translational implications,nfκb biology targeted therapy new insight translational implication,2
Mechanisms controlling cellular and systemic iron homeostasis,mechanism controlling cellular systemic iron homeostasis,2
Community deployment of intermittent preventive treatment of malaria in pregnancy with sulfadoxine-pyrimethamine: a field guide,community deployment intermittent preventive treatment malaria pregnancy sulfadoxinepyrimethamine field guide,2
From realpolitik to dingpolitik or how to make things public,realpolitik dingpolitik make thing public,-1
The Inner Game of Tennis: The Classic Guide to Peak Performance,inner game tennis classic guide peak performance,1
""" do anything now"": Characterizing and evaluating in-the-wild jailbreak prompts on large language models",anything characterizing evaluating inthewild jailbreak prompt large language model,0
Principles of philosophy,principle philosophy,4
Finerenone in heart failure with mildly reduced or preserved ejection fraction,finerenone heart failure mildly reduced preserved ejection fraction,2
Sugar: Surface-aligned gaussian splatting for efficient 3d mesh reconstruction and high-quality mesh rendering,sugar surfacealigned gaussian splatting efficient mesh reconstruction highquality mesh rendering,-1
The economics of biodiversity,economics biodiversity,5
Recent advancement and assessment of green hydrogen production technologies,recent advancement assessment green hydrogen production technology,-1
The rise of ChatGPT: Exploring its potential in medical education,rise chatgpt exploring potential medical education,-1
The bitcoin backbone protocol: Analysis and applications,bitcoin backbone protocol analysis application,3
Bifunctional electrocatalysts for overall and hybrid water splitting,bifunctional electrocatalysts overall hybrid water splitting,3
GPT-4 technical report,gpt technical report,-1
The world of late antiquity: AD 150-750,world late antiquity ad,1
Fiber optic sensors: an introduction for engineers and scientists,fiber optic sensor introduction engineer scientist,-1
Eyes wide shut? exploring the visual shortcomings of multimodal llms,eye wide shut exploring visual shortcoming multimodal llm,1
Life span motor development,life span motor development,-1
Repurposing diffusion-based image generators for monocular depth estimation,repurposing diffusionbased image generator monocular depth estimation,-1
"Wayward lives, beautiful experiments: Intimate histories of social upheaval",wayward life beautiful experiment intimate history social upheaval,1
Let your life speak: Listening for the voice of vocation,let life speak listening voice vocation,1
Non-fullerene acceptor with asymmetric structure and phenyl-substituted alkyl side chain for 20.2% efficiency organic solar cells,nonfullerene acceptor asymmetric structure phenylsubstituted alkyl side chain efficiency organic solar cell,3
Outline of a Theory of Citizenship 1,outline theory citizenship,-1
Stochastic integrals,stochastic integral,3
Gemma: Open models based on gemini research and technology,gemma open model based gemini research technology,-1
Hoffbrand's essential haematology,hoffbrands essential haematology,-1
Cellular and molecular mechanisms of skin wound healing,cellular molecular mechanism skin wound healing,2
Biomedical signal analysis,biomedical signal analysis,3
Lanthanide and actinide chemistry,lanthanide actinide chemistry,3
A guide to cell death pathways,guide cell death pathway,2
Multiple discrepancies theory (MDT),multiple discrepancy theory mdt,-1
Medical decision making,medical decision making,5
Ribociclib plus endocrine therapy in early breast cancer,ribociclib plus endocrine therapy early breast cancer,2
The complete poems,complete poem,1
Overall survival with adjuvant pembrolizumab in renal-cell carcinoma,overall survival adjuvant pembrolizumab renalcell carcinoma,2
Vision-language models for vision tasks: A survey,visionlanguage model vision task survey,0
Deformable 3d gaussians for high-fidelity monocular dynamic scene reconstruction,deformable gaussians highfidelity monocular dynamic scene reconstruction,-1
Qwen2. 5 technical report,qwen technical report,1
Multimodal foundation models: From specialists to general-purpose assistants,multimodal foundation model specialist generalpurpose assistant,-1
Perioperative nivolumab in resectable lung cancer,perioperative nivolumab resectable lung cancer,2
Reskilling and upskilling the future-ready workforce for industry 4.0 and beyond,reskilling upskilling futureready workforce industry beyond,-1
Understanding mechanisms of antioxidant action in health and disease,understanding mechanism antioxidant action health disease,2
Global burden of bacterial antimicrobial resistance 1990–2021: a systematic analysis with forecasts to 2050,global burden bacterial antimicrobial resistance – systematic analysis forecast,2
Smarter eco-cities and their leading-edge artificial intelligence of things solutions for environmental sustainability: A comprehensive systematic review,smarter ecocities leadingedge artificial intelligence thing solution environmental sustainability comprehensive systematic review,-1
Dissociating language and thought in large language models,dissociating language thought large language model,0
Fourier analysis,fourier analysis,3
Mip-splatting: Alias-free 3d gaussian splatting,mipsplatting aliasfree gaussian splatting,0
How is ChatGPT's behavior changing over time?,chatgpts behavior changing time,0
Tirzepatide for the treatment of obstructive sleep apnea and obesity,tirzepatide treatment obstructive sleep apnea obesity,2
Self-play fine-tuning converts weak language models to strong language models,selfplay finetuning convert weak language model strong language model,0
Home girls: A Black feminist anthology,home girl black feminist anthology,1
"Generative artificial intelligence in marketing: Applications, opportunities, challenges, and research agenda",generative artificial intelligence marketing application opportunity challenge research agenda,-1
DeepSeek-Coder: When the Large Language Model Meets Programming--The Rise of Code Intelligence,deepseekcoder large language model meet programmingthe rise code intelligence,0
Thermoplastic elastomers,thermoplastic elastomer,3
A comprehensive survey on pretrained foundation models: A history from bert to chatgpt,comprehensive survey pretrained foundation model history bert chatgpt,-1
Computational chemistry,computational chemistry,3
Apixaban for stroke prevention in subclinical atrial fibrillation,apixaban stroke prevention subclinical atrial fibrillation,2
Trial of early minimally invasive removal of intracerebral hemorrhage,trial early minimally invasive removal intracerebral hemorrhage,2
Fundamentals of weed science,fundamental weed science,1
Logs with zeros? Some problems and solutions,log zero problem solution,-1
Theory and resistance in education: Towards a pedagogy for the opposition,theory resistance education towards pedagogy opposition,4
Phi-3 technical report: A highly capable language model locally on your phone,phi technical report highly capable language model locally phone,0
"Scaling speech technology to 1,000+ languages",scaling speech technology language,-1
"The impact of Generative AI (GenAI) on practices, policies and research direction in education: A case of ChatGPT and Midjourney",impact generative ai genai practice policy research direction education case chatgpt midjourney,0
A phase 2 randomized trial of survodutide in MASH and fibrosis,phase randomized trial survodutide mash fibrosis,2
African language structures,african language structure,5
Sam 2: Segment anything in images and videos,sam segment anything image video,-1
Dora: Weight-decomposed low-rank adaptation,dora weightdecomposed lowrank adaptation,1
Neoadjuvant immunotherapy in locally advanced mismatch repair–deficient colon cancer,neoadjuvant immunotherapy locally advanced mismatch repair–deficient colon cancer,2
"Global, regional, and national burden of disorders affecting the nervous system, 1990–2021: a systematic analysis for the Global Burden of Disease Study …",global regional national burden disorder affecting nervous system – systematic analysis global burden disease study …,2
Quality-of-life-inventory,qualityoflifeinventory,1
A plasmonic S-scheme Au/MIL-101 (Fe)/BiOBr photocatalyst for efficient synchronous decontamination of Cr (VI) and norfloxacin antibiotic,plasmonic sscheme aumil febiobr photocatalyst efficient synchronous decontamination cr vi norfloxacin antibiotic,3
To use or not to use ChatGPT in higher education? A study of students' acceptance and use of technology,use use chatgpt higher education study student acceptance use technology,0
The engineering design of systems: models and methods,engineering design system model method,3
Prolegomena to any future metaphysics,prolegomenon future metaphysics,4
Cognition and memory after Covid-19 in a large community sample,cognition memory covid large community sample,0
The sun also rises,sun also rise,1
"How to do a Systematic Literature Review in Nursing: A Step-by-Step Guide, 3/e",systematic literature review nursing stepbystep guide e,-1
Self‐assembled interlayer enables high‐performance organic photovoltaics with power conversion efficiency exceeding 20%,self‐assembled interlayer enables high‐performance organic photovoltaics power conversion efficiency exceeding,3
Chatbot arena: An open platform for evaluating llms by human preference,chatbot arena open platform evaluating llm human preference,0
"Uncertainty quantification: theory, implementation, and applications",uncertainty quantification theory implementation application,3
"Global burden of 288 causes of death and life expectancy decomposition in 204 countries and territories and 811 subnational locations, 1990–2021: a …",global burden cause death life expectancy decomposition country territory subnational location – …,1
A cell-free DNA blood-based test for colorectal cancer screening,cellfree dna bloodbased test colorectal cancer screening,2
The death of expertise: The campaign against established knowledge and why it matters,death expertise campaign established knowledge matter,1
Highly efficient and stable perovskite solar cells via a multifunctional hole transporting material,highly efficient stable perovskite solar cell via multifunctional hole transporting material,3
Transformative effects of ChatGPT on modern education: Emerging Era of AI Chatbots,transformative effect chatgpt modern education emerging era ai chatbots,0
Extracellular vesicles as tools and targets in therapy for diseases,extracellular vesicle tool target therapy disease,2
Yolo-world: Real-time open-vocabulary object detection,yoloworld realtime openvocabulary object detection,0
Monkey: Image resolution and text label are important things for large multi-modal models,monkey image resolution text label important thing large multimodal model,0
Computational principles of mobile robotics,computational principle mobile robotics,3
"Chemical dynamics in condensed phases: relaxation, transfer, and reactions in condensed molecular systems",chemical dynamic condensed phase relaxation transfer reaction condensed molecular system,3
Novel Resveratrol-Derived Sulfur-Rich Polymers: Advanced Materials for Silver Capture and High-Performance Lithium–Sulfur Battery Cathodes,novel resveratrolderived sulfurrich polymer advanced material silver capture highperformance lithium–sulfur battery cathode,3
International law in theory and practice,international law theory practice,5
Internvl: Scaling up vision foundation models and aligning for generic visual-linguistic tasks,internvl scaling vision foundation model aligning generic visuallinguistic task,0
"Before the Mayflower: A history of the Negro in America, 1619-1962",mayflower history negro america,4
A visual-language foundation model for computational pathology,visuallanguage foundation model computational pathology,-1
College student retention: Formula for student success,college student retention formula student success,-1
A foundation model for clinical-grade computational pathology and rare cancers detection,foundation model clinicalgrade computational pathology rare cancer detection,2
"Black Majority: Race, Rice, and Rebellion in South Carolina, 1670-1740",black majority race rice rebellion south carolina,1
U-mamba: Enhancing long-range dependency for biomedical image segmentation,umamba enhancing longrange dependency biomedical image segmentation,0
Lgm: Large multi-view gaussian model for high-resolution 3d content creation,lgm large multiview gaussian model highresolution content creation,0
A general theoretical paradigm to understand learning from human preferences,general theoretical paradigm understand learning human preference,-1
"Advantages, challenges and molecular design of different material types used in organic solar cells",advantage challenge molecular design different material type used organic solar cell,3
Dust3r: Geometric 3d vision made easy,dustr geometric vision made easy,-1
Trial of lixisenatide in early Parkinson's disease,trial lixisenatide early parkinson disease,2
Practical and ethical challenges of large language models in education: A systematic scoping review,practical ethical challenge large language model education systematic scoping review,0
Thinking: An experimental and social study,thinking experimental social study,4
Clinical trials: a methodologic perspective,clinical trial methodologic perspective,0
The evolution of the British welfare state: a history of social policy since the Industrial Revolution,evolution british welfare state history social policy since industrial revolution,4
European Union law: text and materials,european union law text material,-1
The varieties of goodness,variety goodness,1
Motiondiffuse: Text-driven human motion generation with diffusion model,motiondiffuse textdriven human motion generation diffusion model,0
8. The Fourth Industrial Revolution-What It Means and How to Respond,fourth industrial revolutionwhat mean respond,1
Tackling NCDs: best buys and other recommended interventions for the prevention and control of noncommunicable diseases,tackling ncds best buy recommended intervention prevention control noncommunicable disease,2
A survey on multimodal large language models for autonomous driving,survey multimodal large language model autonomous driving,0
Fueling the future: A comprehensive review of hydrogen energy systems and their challenges,fueling future comprehensive review hydrogen energy system challenge,0
"Abortion and woman's choice: the state, sexuality and reproductive freedom",abortion woman choice state sexuality reproductive freedom,4
Adapted large language models can outperform medical experts in clinical text summarization,adapted large language model outperform medical expert clinical text summarization,0
Electrospinning of nanofibres,electrospinning nanofibres,3
Continued treatment with tirzepatide for maintenance of weight reduction in adults with obesity: the SURMOUNT-4 randomized clinical trial,continued treatment tirzepatide maintenance weight reduction adult obesity surmount randomized clinical trial,2
The everyday language of white racism,everyday language white racism,4
Shape anisotropic chain‐like CoNi/polydimethylsiloxane composite films with excellent low‐frequency microwave absorption and high thermal conductivity,shape anisotropic chain‐like conipolydimethylsiloxane composite film excellent low‐frequency microwave absorption high thermal conductivity,3
Artificially Inspired: Artifical Intelligence and the Future of Graphic Design,artificially inspired artifical intelligence future graphic design,-1
"Money, credit and commerce",money credit commerce,-1
